Bölge,Şehir,İstasyon,Tarih,PM10 (µg/m³),SO2 (µg/m³),NO2 (µg/m³),NOX (µg/m³),NO (µg/m³)
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-08 00:00:56,16.58,2.48,26.28,57.59,20.37
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-09 00:00:56,21.56,3.12,39.53,76.78,24.29
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-10 00:00:56,21.01,3.07,29.32,61.23,20.93
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-11 00:00:56,22.96,2.58,35.9,85.14,32.08
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-12 00:00:56,39.06,2.69,46.13,96.61,32.86
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-13 00:00:56,31.54,2.83,59.7,129.59,45.58
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-14 00:00:56,34.79,5.36,86.43,245.07,103.58
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-15 00:00:56,43.35,5.59,98.35,320.44,144.77
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-16 00:00:56,42.32,6.3,83.47,197.36,74.16
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-17 00:00:56,35.65,7.64,85.78,188.83,67.79
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-18 00:00:56,35.82,6.76,60.71,131.16,46.0
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-19 00:00:56,12.79,4.18,26.09,52.87,17.46
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-20 00:00:56,11.87,6.8,21.59,48.18,17.31
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-21 00:00:56,16.31,5.36,46.08,97.95,33.84
Marmara THMOPEN,İstanbulOPEN,İstanbul - Kandilli-MTHM,2024-04-22 00:00:56,22.75,4.31,53.07,111.92,38.39
